recipe_id,name,cuisine,ingredients,instructions
29,Recipe 29,Mediterranean,"beef,potato,carrot",Blend and simmer
30,Recipe 30,Indian,"pasta,cheese,cream",Cook slowly for 30 minutes
31,Recipe 31,Italian,"rice,vegetables,soy sauce",Boil and mix ingredients
32,Recipe 32,British,"tomato,onion,garlic",Simmer for 45 minutes
33,Recipe 33,Chinese,"fish,lemon,herbs",Stir fry on high heat
34,Recipe 34,American,"beans,corn,tomato",Bake until golden
35,Recipe 35,Mexican,"chicken,onion,spices",Blend and simmer
36,Recipe 36,French,"beef,potato,carrot",Cook slowly for 30 minutes
37,Recipe 37,Japanese,"pasta,cheese,cream",Boil and mix ingredients
38,Recipe 38,Thai,"rice,vegetables,soy sauce",Simmer for 45 minutes
39,Recipe 39,Mediterranean,"tomato,onion,garlic",Stir fry on high heat
40,Recipe 40,Indian,"fish,lemon,herbs",Bake until golden
41,Recipe 41,Italian,"beans,corn,tomato",Blend and simmer
42,Recipe 42,British,"chicken,onion,spices",Cook slowly for 30 minutes
43,Recipe 43,Chinese,"beef,potato,carrot",Boil and mix ingredients
44,Recipe 44,American,"pasta,cheese,cream",Simmer for 45 minutes
45,Recipe 45,Mexican,"rice,vegetables,soy sauce",Stir fry on high heat
46,Recipe 46,French,"tomato,onion,garlic",Bake until golden
47,Recipe 47,Japanese,"fish,lemon,herbs",Blend and simmer
48,Recipe 48,Thai,"beans,corn,tomato",Cook slowly for 30 minutes
49,Recipe 49,Mediterranean,"chicken,onion,spices",Boil and mix ingredients
50,Recipe 50,Indian,"beef,potato,carrot",Simmer for 45 minutes
51,Recipe 51,Italian,"pasta,cheese,cream",Stir fry on high heat
52,Recipe 52,British,"rice,vegetables,soy sauce",Bake until golden
53,Recipe 53,Chinese,"tomato,onion,garlic",Blend and simmer
54,Recipe 54,American,"fish,lemon,herbs",Cook slowly for 30 minutes
55,Recipe 55,Mexican,"beans,corn,tomato",Boil and mix ingredients
56,Recipe 56,French,"chicken,onion,spices",Simmer for 45 minutes
57,Recipe 57,Japanese,"beef,potato,carrot",Stir fry on high heat
58,Recipe 58,Thai,"pasta,cheese,cream",Bake until golden
59,Recipe 59,Mediterranean,"rice,vegetables,soy sauce",Blend and simmer
60,Recipe 60,Indian,"tomato,onion,garlic",Cook slowly for 30 minutes
61,Recipe 61,Italian,"fish,lemon,herbs",Boil and mix ingredients
62,Recipe 62,British,"beans,corn,tomato",Simmer for 45 minutes
63,Recipe 63,Chinese,"chicken,onion,spices",Stir fry on high heat
64,Recipe 64,American,"beef,potato,carrot",Bake until golden
65,Recipe 65,Mexican,"pasta,cheese,cream",Blend and simmer
66,Recipe 66,French,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
67,Recipe 67,Japanese,"tomato,onion,garlic",Boil and mix ingredients
68,Recipe 68,Thai,"fish,lemon,herbs",Simmer for 45 minutes
69,Recipe 69,Mediterranean,"beans,corn,tomato",Stir fry on high heat
70,Recipe 70,Indian,"chicken,onion,spices",Bake until golden
71,Recipe 71,Italian,"beef,potato,carrot",Blend and simmer
72,Recipe 72,British,"pasta,cheese,cream",Cook slowly for 30 minutes
73,Recipe 73,Chinese,"rice,vegetables,soy sauce",Boil and mix ingredients
74,Recipe 74,American,"tomato,onion,garlic",Simmer for 45 minutes
75,Recipe 75,Mexican,"fish,lemon,herbs",Stir fry on high heat
76,Recipe 76,French,"beans,corn,tomato",Bake until golden
77,Recipe 77,Japanese,"chicken,onion,spices",Blend and simmer
78,Recipe 78,Thai,"beef,potato,carrot",Cook slowly for 30 minutes
79,Recipe 79,Mediterranean,"pasta,cheese,cream",Boil and mix ingredients
80,Recipe 80,Indian,"rice,vegetables,soy sauce",Simmer for 45 minutes
81,Recipe 81,Italian,"tomato,onion,garlic",Stir fry on high heat
82,Recipe 82,British,"fish,lemon,herbs",Bake until golden
83,Recipe 83,Chinese,"beans,corn,tomato",Blend and simmer
84,Recipe 84,American,"chicken,onion,spices",Cook slowly for 30 minutes
85,Recipe 85,Mexican,"beef,potato,carrot",Boil and mix ingredients
86,Recipe 86,French,"pasta,cheese,cream",Simmer for 45 minutes
87,Recipe 87,Japanese,"rice,vegetables,soy sauce",Stir fry on high heat
88,Recipe 88,Thai,"tomato,onion,garlic",Bake until golden
89,Recipe 89,Mediterranean,"fish,lemon,herbs",Blend and simmer
90,Recipe 90,Indian,"beans,corn,tomato",Cook slowly for 30 minutes
91,Recipe 91,Italian,"chicken,onion,spices",Boil and mix ingredients
92,Recipe 92,British,"beef,potato,carrot",Simmer for 45 minutes
93,Recipe 93,Chinese,"pasta,cheese,cream",Stir fry on high heat
94,Recipe 94,American,"rice,vegetables,soy sauce",Bake until golden
95,Recipe 95,Mexican,"tomato,onion,garlic",Blend and simmer
96,Recipe 96,French,"fish,lemon,herbs",Cook slowly for 30 minutes
97,Recipe 97,Japanese,"beans,corn,tomato",Boil and mix ingredients
98,Recipe 98,Thai,"chicken,onion,spices",Simmer for 45 minutes
99,Recipe 99,Mediterranean,"beef,potato,carrot",Stir fry on high heat
100,Recipe 100,Indian,"pasta,cheese,cream",Bake until golden
101,Recipe 101,Italian,"rice,vegetables,soy sauce",Blend and simmer
102,Recipe 102,British,"tomato,onion,garlic",Cook slowly for 30 minutes
103,Recipe 103,Chinese,"fish,lemon,herbs",Boil and mix ingredients
104,Recipe 104,American,"beans,corn,tomato",Simmer for 45 minutes
105,Recipe 105,Mexican,"chicken,onion,spices",Stir fry on high heat
106,Recipe 106,French,"beef,potato,carrot",Bake until golden
107,Recipe 107,Japanese,"pasta,cheese,cream",Blend and simmer
108,Recipe 108,Thai,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
109,Recipe 109,Mediterranean,"tomato,onion,garlic",Boil and mix ingredients
110,Recipe 110,Indian,"fish,lemon,herbs",Simmer for 45 minutes
111,Recipe 111,Italian,"beans,corn,tomato",Stir fry on high heat
112,Recipe 112,British,"chicken,onion,spices",Bake until golden
113,Recipe 113,Chinese,"beef,potato,carrot",Blend and simmer
114,Recipe 114,American,"pasta,cheese,cream",Cook slowly for 30 minutes
115,Recipe 115,Mexican,"rice,vegetables,soy sauce",Boil and mix ingredients
116,Recipe 116,French,"tomato,onion,garlic",Simmer for 45 minutes
117,Recipe 117,Japanese,"fish,lemon,herbs",Stir fry on high heat
118,Recipe 118,Thai,"beans,corn,tomato",Bake until golden
119,Recipe 119,Mediterranean,"chicken,onion,spices",Blend and simmer
120,Recipe 120,Indian,"beef,potato,carrot",Cook slowly for 30 minutes
121,Recipe 121,Italian,"pasta,cheese,cream",Boil and mix ingredients
122,Recipe 122,British,"rice,vegetables,soy sauce",Simmer for 45 minutes
123,Recipe 123,Chinese,"tomato,onion,garlic",Stir fry on high heat
124,Recipe 124,American,"fish,lemon,herbs",Bake until golden
125,Recipe 125,Mexican,"beans,corn,tomato",Blend and simmer
126,Recipe 126,French,"chicken,onion,spices",Cook slowly for 30 minutes
127,Recipe 127,Japanese,"beef,potato,carrot",Boil and mix ingredients
128,Recipe 128,Thai,"pasta,cheese,cream",Simmer for 45 minutes
129,Recipe 129,Mediterranean,"rice,vegetables,soy sauce",Stir fry on high heat
130,Recipe 130,Indian,"tomato,onion,garlic",Bake until golden
131,Recipe 131,Italian,"fish,lemon,herbs",Blend and simmer
132,Recipe 132,British,"beans,corn,tomato",Cook slowly for 30 minutes
133,Recipe 133,Chinese,"chicken,onion,spices",Boil and mix ingredients
134,Recipe 134,American,"beef,potato,carrot",Simmer for 45 minutes
135,Recipe 135,Mexican,"pasta,cheese,cream",Stir fry on high heat
136,Recipe 136,French,"rice,vegetables,soy sauce",Bake until golden
137,Recipe 137,Japanese,"tomato,onion,garlic",Blend and simmer
138,Recipe 138,Thai,"fish,lemon,herbs",Cook slowly for 30 minutes
139,Recipe 139,Mediterranean,"beans,corn,tomato",Boil and mix ingredients
140,Recipe 140,Indian,"chicken,onion,spices",Simmer for 45 minutes
141,Recipe 141,Italian,"beef,potato,carrot",Stir fry on high heat
142,Recipe 142,British,"pasta,cheese,cream",Bake until golden
143,Recipe 143,Chinese,"rice,vegetables,soy sauce",Blend and simmer
144,Recipe 144,American,"tomato,onion,garlic",Cook slowly for 30 minutes
145,Recipe 145,Mexican,"fish,lemon,herbs",Boil and mix ingredients
146,Recipe 146,French,"beans,corn,tomato",Simmer for 45 minutes
147,Recipe 147,Japanese,"chicken,onion,spices",Stir fry on high heat
148,Recipe 148,Thai,"beef,potato,carrot",Bake until golden
149,Recipe 149,Mediterranean,"pasta,cheese,cream",Blend and simmer
150,Recipe 150,Indian,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
151,Recipe 151,Italian,"tomato,onion,garlic",Boil and mix ingredients
152,Recipe 152,British,"fish,lemon,herbs",Simmer for 45 minutes
153,Recipe 153,Chinese,"beans,corn,tomato",Stir fry on high heat
154,Recipe 154,American,"chicken,onion,spices",Bake until golden
155,Recipe 155,Mexican,"beef,potato,carrot",Blend and simmer
156,Recipe 156,French,"pasta,cheese,cream",Cook slowly for 30 minutes
157,Recipe 157,Japanese,"rice,vegetables,soy sauce",Boil and mix ingredients
158,Recipe 158,Thai,"tomato,onion,garlic",Simmer for 45 minutes
159,Recipe 159,Mediterranean,"fish,lemon,herbs",Stir fry on high heat
160,Recipe 160,Indian,"beans,corn,tomato",Bake until golden
161,Recipe 161,Italian,"chicken,onion,spices",Blend and simmer
162,Recipe 162,British,"beef,potato,carrot",Cook slowly for 30 minutes
163,Recipe 163,Chinese,"pasta,cheese,cream",Boil and mix ingredients
164,Recipe 164,American,"rice,vegetables,soy sauce",Simmer for 45 minutes
165,Recipe 165,Mexican,"tomato,onion,garlic",Stir fry on high heat
166,Recipe 166,French,"fish,lemon,herbs",Bake until golden
167,Recipe 167,Japanese,"beans,corn,tomato",Blend and simmer
168,Recipe 168,Thai,"chicken,onion,spices",Cook slowly for 30 minutes
169,Recipe 169,Mediterranean,"beef,potato,carrot",Boil and mix ingredients
170,Recipe 170,Indian,"pasta,cheese,cream",Simmer for 45 minutes
171,Recipe 171,Italian,"rice,vegetables,soy sauce",Stir fry on high heat
172,Recipe 172,British,"tomato,onion,garlic",Bake until golden
173,Recipe 173,Chinese,"fish,lemon,herbs",Blend and simmer
174,Recipe 174,American,"beans,corn,tomato",Cook slowly for 30 minutes
175,Recipe 175,Mexican,"chicken,onion,spices",Boil and mix ingredients
176,Recipe 176,French,"beef,potato,carrot",Simmer for 45 minutes
177,Recipe 177,Japanese,"pasta,cheese,cream",Stir fry on high heat
178,Recipe 178,Thai,"rice,vegetables,soy sauce",Bake until golden
179,Recipe 179,Mediterranean,"tomato,onion,garlic",Blend and simmer
180,Recipe 180,Indian,"fish,lemon,herbs",Cook slowly for 30 minutes
181,Recipe 181,Italian,"beans,corn,tomato",Boil and mix ingredients
182,Recipe 182,British,"chicken,onion,spices",Simmer for 45 minutes
183,Recipe 183,Chinese,"beef,potato,carrot",Stir fry on high heat
184,Recipe 184,American,"pasta,cheese,cream",Bake until golden
185,Recipe 185,Mexican,"rice,vegetables,soy sauce",Blend and simmer
186,Recipe 186,French,"tomato,onion,garlic",Cook slowly for 30 minutes
187,Recipe 187,Japanese,"fish,lemon,herbs",Boil and mix ingredients
188,Recipe 188,Thai,"beans,corn,tomato",Simmer for 45 minutes
189,Recipe 189,Mediterranean,"chicken,onion,spices",Stir fry on high heat
190,Recipe 190,Indian,"beef,potato,carrot",Bake until golden
191,Recipe 191,Italian,"pasta,cheese,cream",Blend and simmer
192,Recipe 192,British,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
193,Recipe 193,Chinese,"tomato,onion,garlic",Boil and mix ingredients
194,Recipe 194,American,"fish,lemon,herbs",Simmer for 45 minutes
195,Recipe 195,Mexican,"beans,corn,tomato",Stir fry on high heat
196,Recipe 196,French,"chicken,onion,spices",Bake until golden
197,Recipe 197,Japanese,"beef,potato,carrot",Blend and simmer
198,Recipe 198,Thai,"pasta,cheese,cream",Cook slowly for 30 minutes
199,Recipe 199,Mediterranean,"rice,vegetables,soy sauce",Boil and mix ingredients
200,Recipe 200,Indian,"tomato,onion,garlic",Simmer for 45 minutes
201,Recipe 201,Italian,"fish,lemon,herbs",Stir fry on high heat
202,Recipe 202,British,"beans,corn,tomato",Bake until golden
203,Recipe 203,Chinese,"chicken,onion,spices",Blend and simmer
204,Recipe 204,American,"beef,potato,carrot",Cook slowly for 30 minutes
205,Recipe 205,Mexican,"pasta,cheese,cream",Boil and mix ingredients
206,Recipe 206,French,"rice,vegetables,soy sauce",Simmer for 45 minutes
207,Recipe 207,Japanese,"tomato,onion,garlic",Stir fry on high heat
208,Recipe 208,Thai,"fish,lemon,herbs",Bake until golden
209,Recipe 209,Mediterranean,"beans,corn,tomato",Blend and simmer
210,Recipe 210,Indian,"chicken,onion,spices",Cook slowly for 30 minutes
211,Recipe 211,Italian,"beef,potato,carrot",Boil and mix ingredients
212,Recipe 212,British,"pasta,cheese,cream",Simmer for 45 minutes
213,Recipe 213,Chinese,"rice,vegetables,soy sauce",Stir fry on high heat
214,Recipe 214,American,"tomato,onion,garlic",Bake until golden
215,Recipe 215,Mexican,"fish,lemon,herbs",Blend and simmer
216,Recipe 216,French,"beans,corn,tomato",Cook slowly for 30 minutes
217,Recipe 217,Japanese,"chicken,onion,spices",Boil and mix ingredients
218,Recipe 218,Thai,"beef,potato,carrot",Simmer for 45 minutes
219,Recipe 219,Mediterranean,"pasta,cheese,cream",Stir fry on high heat
220,Recipe 220,Indian,"rice,vegetables,soy sauce",Bake until golden
221,Recipe 221,Italian,"tomato,onion,garlic",Blend and simmer
222,Recipe 222,British,"fish,lemon,herbs",Cook slowly for 30 minutes
223,Recipe 223,Chinese,"beans,corn,tomato",Boil and mix ingredients
224,Recipe 224,American,"chicken,onion,spices",Simmer for 45 minutes
225,Recipe 225,Mexican,"beef,potato,carrot",Stir fry on high heat
226,Recipe 226,French,"pasta,cheese,cream",Bake until golden
227,Recipe 227,Japanese,"rice,vegetables,soy sauce",Blend and simmer
228,Recipe 228,Thai,"tomato,onion,garlic",Cook slowly for 30 minutes
229,Recipe 229,Mediterranean,"fish,lemon,herbs",Boil and mix ingredients
230,Recipe 230,Indian,"beans,corn,tomato",Simmer for 45 minutes
231,Recipe 231,Italian,"chicken,onion,spices",Stir fry on high heat
232,Recipe 232,British,"beef,potato,carrot",Bake until golden
233,Recipe 233,Chinese,"pasta,cheese,cream",Blend and simmer
234,Recipe 234,American,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
235,Recipe 235,Mexican,"tomato,onion,garlic",Boil and mix ingredients
236,Recipe 236,French,"fish,lemon,herbs",Simmer for 45 minutes
237,Recipe 237,Japanese,"beans,corn,tomato",Stir fry on high heat
238,Recipe 238,Thai,"chicken,onion,spices",Bake until golden
239,Recipe 239,Mediterranean,"beef,potato,carrot",Blend and simmer
240,Recipe 240,Indian,"pasta,cheese,cream",Cook slowly for 30 minutes
241,Recipe 241,Italian,"rice,vegetables,soy sauce",Boil and mix ingredients
242,Recipe 242,British,"tomato,onion,garlic",Simmer for 45 minutes
243,Recipe 243,Chinese,"fish,lemon,herbs",Stir fry on high heat
244,Recipe 244,American,"beans,corn,tomato",Bake until golden
245,Recipe 245,Mexican,"chicken,onion,spices",Blend and simmer
246,Recipe 246,French,"beef,potato,carrot",Cook slowly for 30 minutes
247,Recipe 247,Japanese,"pasta,cheese,cream",Boil and mix ingredients
248,Recipe 248,Thai,"rice,vegetables,soy sauce",Simmer for 45 minutes
249,Recipe 249,Mediterranean,"tomato,onion,garlic",Stir fry on high heat
250,Recipe 250,Indian,"fish,lemon,herbs",Bake until golden
251,Recipe 251,Italian,"beans,corn,tomato",Blend and simmer
252,Recipe 252,British,"chicken,onion,spices",Cook slowly for 30 minutes
253,Recipe 253,Chinese,"beef,potato,carrot",Boil and mix ingredients
254,Recipe 254,American,"pasta,cheese,cream",Simmer for 45 minutes
255,Recipe 255,Mexican,"rice,vegetables,soy sauce",Stir fry on high heat
256,Recipe 256,French,"tomato,onion,garlic",Bake until golden
257,Recipe 257,Japanese,"fish,lemon,herbs",Blend and simmer
258,Recipe 258,Thai,"beans,corn,tomato",Cook slowly for 30 minutes
259,Recipe 259,Mediterranean,"chicken,onion,spices",Boil and mix ingredients
260,Recipe 260,Indian,"beef,potato,carrot",Simmer for 45 minutes
261,Recipe 261,Italian,"pasta,cheese,cream",Stir fry on high heat
262,Recipe 262,British,"rice,vegetables,soy sauce",Bake until golden
263,Recipe 263,Chinese,"tomato,onion,garlic",Blend and simmer
264,Recipe 264,American,"fish,lemon,herbs",Cook slowly for 30 minutes
265,Recipe 265,Mexican,"beans,corn,tomato",Boil and mix ingredients
266,Recipe 266,French,"chicken,onion,spices",Simmer for 45 minutes
267,Recipe 267,Japanese,"beef,potato,carrot",Stir fry on high heat
268,Recipe 268,Thai,"pasta,cheese,cream",Bake until golden
269,Recipe 269,Mediterranean,"rice,vegetables,soy sauce",Blend and simmer
270,Recipe 270,Indian,"tomato,onion,garlic",Cook slowly for 30 minutes
271,Recipe 271,Italian,"fish,lemon,herbs",Boil and mix ingredients
272,Recipe 272,British,"beans,corn,tomato",Simmer for 45 minutes
273,Recipe 273,Chinese,"chicken,onion,spices",Stir fry on high heat
274,Recipe 274,American,"beef,potato,carrot",Bake until golden
275,Recipe 275,Mexican,"pasta,cheese,cream",Blend and simmer
276,Recipe 276,French,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
277,Recipe 277,Japanese,"tomato,onion,garlic",Boil and mix ingredients
278,Recipe 278,Thai,"fish,lemon,herbs",Simmer for 45 minutes
279,Recipe 279,Mediterranean,"beans,corn,tomato",Stir fry on high heat
280,Recipe 280,Indian,"chicken,onion,spices",Bake until golden
281,Recipe 281,Italian,"beef,potato,carrot",Blend and simmer
282,Recipe 282,British,"pasta,cheese,cream",Cook slowly for 30 minutes
283,Recipe 283,Chinese,"rice,vegetables,soy sauce",Boil and mix ingredients
284,Recipe 284,American,"tomato,onion,garlic",Simmer for 45 minutes
285,Recipe 285,Mexican,"fish,lemon,herbs",Stir fry on high heat
286,Recipe 286,French,"beans,corn,tomato",Bake until golden
287,Recipe 287,Japanese,"chicken,onion,spices",Blend and simmer
288,Recipe 288,Thai,"beef,potato,carrot",Cook slowly for 30 minutes
289,Recipe 289,Mediterranean,"pasta,cheese,cream",Boil and mix ingredients
290,Recipe 290,Indian,"rice,vegetables,soy sauce",Simmer for 45 minutes
291,Recipe 291,Italian,"tomato,onion,garlic",Stir fry on high heat
292,Recipe 292,British,"fish,lemon,herbs",Bake until golden
293,Recipe 293,Chinese,"beans,corn,tomato",Blend and simmer
294,Recipe 294,American,"chicken,onion,spices",Cook slowly for 30 minutes
295,Recipe 295,Mexican,"beef,potato,carrot",Boil and mix ingredients
296,Recipe 296,French,"pasta,cheese,cream",Simmer for 45 minutes
297,Recipe 297,Japanese,"rice,vegetables,soy sauce",Stir fry on high heat
298,Recipe 298,Thai,"tomato,onion,garlic",Bake until golden
299,Recipe 299,Mediterranean,"fish,lemon,herbs",Blend and simmer
300,Recipe 300,Indian,"beans,corn,tomato",Cook slowly for 30 minutes
301,Recipe 301,Italian,"chicken,onion,spices",Boil and mix ingredients
302,Recipe 302,British,"beef,potato,carrot",Simmer for 45 minutes
303,Recipe 303,Chinese,"pasta,cheese,cream",Stir fry on high heat
304,Recipe 304,American,"rice,vegetables,soy sauce",Bake until golden
305,Recipe 305,Mexican,"tomato,onion,garlic",Blend and simmer
306,Recipe 306,French,"fish,lemon,herbs",Cook slowly for 30 minutes
307,Recipe 307,Japanese,"beans,corn,tomato",Boil and mix ingredients
308,Recipe 308,Thai,"chicken,onion,spices",Simmer for 45 minutes
309,Recipe 309,Mediterranean,"beef,potato,carrot",Stir fry on high heat
310,Recipe 310,Indian,"pasta,cheese,cream",Bake until golden
311,Recipe 311,Italian,"rice,vegetables,soy sauce",Blend and simmer
312,Recipe 312,British,"tomato,onion,garlic",Cook slowly for 30 minutes
313,Recipe 313,Chinese,"fish,lemon,herbs",Boil and mix ingredients
314,Recipe 314,American,"beans,corn,tomato",Simmer for 45 minutes
315,Recipe 315,Mexican,"chicken,onion,spices",Stir fry on high heat
316,Recipe 316,French,"beef,potato,carrot",Bake until golden
317,Recipe 317,Japanese,"pasta,cheese,cream",Blend and simmer
318,Recipe 318,Thai,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
319,Recipe 319,Mediterranean,"tomato,onion,garlic",Boil and mix ingredients
320,Recipe 320,Indian,"fish,lemon,herbs",Simmer for 45 minutes
321,Recipe 321,Italian,"beans,corn,tomato",Stir fry on high heat
322,Recipe 322,British,"chicken,onion,spices",Bake until golden
323,Recipe 323,Chinese,"beef,potato,carrot",Blend and simmer
324,Recipe 324,American,"pasta,cheese,cream",Cook slowly for 30 minutes
325,Recipe 325,Mexican,"rice,vegetables,soy sauce",Boil and mix ingredients
326,Recipe 326,French,"tomato,onion,garlic",Simmer for 45 minutes
327,Recipe 327,Japanese,"fish,lemon,herbs",Stir fry on high heat
328,Recipe 328,Thai,"beans,corn,tomato",Bake until golden
329,Recipe 329,Mediterranean,"chicken,onion,spices",Blend and simmer
330,Recipe 330,Indian,"beef,potato,carrot",Cook slowly for 30 minutes
331,Recipe 331,Italian,"pasta,cheese,cream",Boil and mix ingredients
332,Recipe 332,British,"rice,vegetables,soy sauce",Simmer for 45 minutes
333,Recipe 333,Chinese,"tomato,onion,garlic",Stir fry on high heat
334,Recipe 334,American,"fish,lemon,herbs",Bake until golden
335,Recipe 335,Mexican,"beans,corn,tomato",Blend and simmer
336,Recipe 336,French,"chicken,onion,spices",Cook slowly for 30 minutes
337,Recipe 337,Japanese,"beef,potato,carrot",Boil and mix ingredients
338,Recipe 338,Thai,"pasta,cheese,cream",Simmer for 45 minutes
339,Recipe 339,Mediterranean,"rice,vegetables,soy sauce",Stir fry on high heat
340,Recipe 340,Indian,"tomato,onion,garlic",Bake until golden
341,Recipe 341,Italian,"fish,lemon,herbs",Blend and simmer
342,Recipe 342,British,"beans,corn,tomato",Cook slowly for 30 minutes
343,Recipe 343,Chinese,"chicken,onion,spices",Boil and mix ingredients
344,Recipe 344,American,"beef,potato,carrot",Simmer for 45 minutes
345,Recipe 345,Mexican,"pasta,cheese,cream",Stir fry on high heat
346,Recipe 346,French,"rice,vegetables,soy sauce",Bake until golden
347,Recipe 347,Japanese,"tomato,onion,garlic",Blend and simmer
348,Recipe 348,Thai,"fish,lemon,herbs",Cook slowly for 30 minutes
349,Recipe 349,Mediterranean,"beans,corn,tomato",Boil and mix ingredients
350,Recipe 350,Indian,"chicken,onion,spices",Simmer for 45 minutes
351,Recipe 351,Italian,"beef,potato,carrot",Stir fry on high heat
352,Recipe 352,British,"pasta,cheese,cream",Bake until golden
353,Recipe 353,Chinese,"rice,vegetables,soy sauce",Blend and simmer
354,Recipe 354,American,"tomato,onion,garlic",Cook slowly for 30 minutes
355,Recipe 355,Mexican,"fish,lemon,herbs",Boil and mix ingredients
356,Recipe 356,French,"beans,corn,tomato",Simmer for 45 minutes
357,Recipe 357,Japanese,"chicken,onion,spices",Stir fry on high heat
358,Recipe 358,Thai,"beef,potato,carrot",Bake until golden
359,Recipe 359,Mediterranean,"pasta,cheese,cream",Blend and simmer
360,Recipe 360,Indian,"rice,vegetables,soy sauce",Cook slowly for 30 minutes
361,Recipe 361,Italian,"tomato,onion,garlic",Boil and mix ingredients
362,Recipe 362,British,"fish,lemon,herbs",Simmer for 45 minutes
363,Recipe 363,Chinese,"beans,corn,tomato",Stir fry on high heat
364,Recipe 364,American,"chicken,onion,spices",Bake until golden
365,Recipe 365,Mexican,"beef,potato,carrot",Blend and simmer
366,Recipe 366,French,"pasta,cheese,cream",Cook slowly for 30 minutes
367,Recipe 367,Japanese,"rice,vegetables,soy sauce",Boil and mix ingredients
368,Recipe 368,Thai,"tomato,onion,garlic",Simmer for 45 minutes
369,Recipe 369,Mediterranean,"fish,lemon,herbs",Stir fry on high heat
370,Recipe 370,Indian,"beans,corn,tomato",Bake until golden
371,Recipe 371,Italian,"chicken,onion,spices",Blend and simmer
372,Recipe 372,British,"beef,potato,carrot",Cook slowly for 30 minutes
373,Recipe 373,Chinese,"pasta,cheese,cream",Boil and mix ingredients
374,Recipe 374,American,"rice,vegetables,soy sauce",Simmer for 45 minutes
375,Recipe 375,Mexican,"tomato,onion,garlic",Stir fry on high heat
376,Recipe 376,French,"fish,lemon,herbs",Bake until golden
377,Recipe 377,Japanese,"beans,corn,tomato",Blend and simmer
378,Recipe 378,Thai,"chicken,onion,spices",Cook slowly for 30 minutes
379,Recipe 379,Mediterranean,"beef,potato,carrot",Boil and mix ingredients
380,Recipe 380,Indian,"pasta,cheese,cream",Simmer for 45 minutes
381,Recipe 381,Italian,"rice,vegetables,soy sauce",Stir fry on high heat
382,Recipe 382,British,"tomato,onion,garlic",Bake until golden
383,Recipe 383,Chinese,"fish,lemon,herbs",Blend and simmer
384,Recipe 384,American,"beans,corn,tomato",Cook slowly for 30 minutes
385,Recipe 385,Mexican,"chicken,onion,spices",Boil and mix ingredients
386,Recipe 386,French,"beef,potato,carrot",Simmer for 45 minutes
387,Recipe 387,Japanese,"pasta,cheese,cream",Stir fry on high heat
388,Recipe 388,Thai,"rice,vegetables,soy sauce",Bake until golden
389,Recipe 389,Mediterranean,"tomato,onion,garlic",Blend and simmer
390,Recipe 390,Indian,"fish,lemon,herbs",Cook slowly for 30 minutes
391,Recipe 391,Italian,"beans,corn,tomato",Boil and mix ingredients
392,Recipe 392,British,"chicken,onion,spices",Simmer for 45 minutes
393,Recipe 393,Chinese,"beef,potato,carrot",Stir fry on high heat
394,Recipe 394,American,"pasta,cheese,cream",Bake until golden
